479888,Arsenal,0,1,Stoke City,26,GeoffCameron,22/09/2013,2013/2014,PremierLeague,England,2 - 1,3 - 1
479886,Swansea City,1,0,Liverpool,2,JonjoShelvey,16/09/2013,2013/2014,PremierLeague,England,1 - 2,2 - 2
479886,Swansea City,1,0,Liverpool,64,Michu,16/09/2013,2013/2014,PremierLeague,England,1 - 2,2 - 2
479886,Swansea City,0,1,Liverpool,4,DanielSturridge,16/09/2013,2013/2014,PremierLeague,England,1 - 2,2 - 2
479886,Swansea City,0,1,Liverpool,36,VictorMoses,16/09/2013,2013/2014,PremierLeague,England,1 - 2,2 - 2
479889,Cardiff City,0,1,Tottenham Hotspur,93,Paulinho,22/09/2013,2013/2014,PremierLeague,England,0 - 0,0 - 1
479887,Tottenham Hotspur,1,0,Norwich City,28,GylfirSigursson,14/09/2013,2013/2014,PremierLeague,England,1 - 0,2 - 0
479887,Tottenham Hotspur,1,0,Norwich City,49,GylfirSigursson,14/09/2013,2013/2014,PremierLeague,England,1 - 0,2 - 0
479890,Chelsea,1,0,Fulham,84,JohnObiMikel,21/09/2013,2013/2014,PremierLeague,England,0 - 0,2 - 0
479890,Chelsea,1,0,Fulham,52,Oscar,21/09/2013,2013/2014,PremierLeague,England,0 - 0,2 - 0
479891,Crystal Palace,0,1,Swansea City,2,Michu,22/09/2013,2013/2014,PremierLeague,England,0 - 1,0 - 2
479891,Crystal Palace,0,1,Swansea City,48,NathanDyer,22/09/2013,2013/2014,PremierLeague,England,0 - 1,0 - 2
479892,Liverpool,0,1,Southampton,53,DejanLovren,21/09/2013,2013/2014,PremierLeague,England,0 - 0,0 - 1
479893,Manchester City,1,0,Manchester United,47,SergioAgero,22/09/2013,2013/2014,PremierLeague,England,2 - 0,4 - 1
479893,Manchester City,1,0,Manchester United,45,YayaTour,22/09/2013,2013/2014,PremierLeague,England,2 - 0,4 - 1
479893,Manchester City,1,0,Manchester United,50,SamirNasri,22/09/2013,2013/2014,PremierLeague,England,2 - 0,4 - 1
479893,Manchester City,1,0,Manchester United,16,SergioAgero,22/09/2013,2013/2014,PremierLeague,England,2 - 0,4 - 1
479893,Manchester City,0,1,Manchester United,87,WayneRooney,22/09/2013,2013/2014,PremierLeague,England,2 - 0,4 - 1
479894,Newcastle United,1,0,Hull City,10,LocRmy,21/09/2013,2013/2014,PremierLeague,England,2 - 1,2 - 3
479894,Newcastle United,1,0,Hull City,44,LocRmy,21/09/2013,2013/2014,PremierLeague,England,2 - 1,2 - 3
479894,Newcastle United,0,1,Hull City,76,SoneAluko,21/09/2013,2013/2014,PremierLeague,England,2 - 1,2 - 3
479894,Newcastle United,0,1,Hull City,26,RobbieBrady,21/09/2013,2013/2014,PremierLeague,England,2 - 1,2 - 3
479894,Newcastle United,0,1,Hull City,48,AhmedElmohamady,21/09/2013,2013/2014,PremierLeague,England,2 - 1,2 - 3
479895,Norwich City,0,1,Aston Villa,30,LiborKozk,21/09/2013,2013/2014,PremierLeague,England,0 - 1,0 - 1
479896,West Bromwich Albion,1,0,Sunderland,76,LiamRidgewell,21/09/2013,2013/2014,PremierLeague,England,1 - 0,3 - 0
479896,West Bromwich Albion,1,0,Sunderland,93,MorganAmalfitano,21/09/2013,2013/2014,PremierLeague,England,1 - 0,3 - 0
479896,West Bromwich Albion,1,0,Sunderland,20,StphaneSessgnon,21/09/2013,2013/2014,PremierLeague,England,1 - 0,3 - 0
479897,West Ham United,1,0,Everton,76,MarkNoble,21/09/2013,2013/2014,PremierLeague,England,1 - 0,2 - 3
479897,West Ham United,1,0,Everton,31,RavelMorrison,21/09/2013,2013/2014,PremierLeague,England,1 - 0,2 - 3
479897,West Ham United,0,1,Everton,83,LeightonBaines,21/09/2013,2013/2014,PremierLeague,England,1 - 0,2 - 3
479897,West Ham United,0,1,Everton,62,LeightonBaines,21/09/2013,2013/2014,PremierLeague,England,1 - 0,2 - 3
479897,West Ham United,0,1,Everton,85,RomeluLukaku,21/09/2013,2013/2014,PremierLeague,England,1 - 0,2 - 3
479898,Aston Villa,1,0,Manchester City,73,LeandroBacuna,28/09/2013,2013/2014,PremierLeague,England,0 - 1,3 - 2
479898,Aston Villa,1,0,Manchester City,75,AndreasWeimann,28/09/2013,2013/2014,PremierLeague,England,0 - 1,3 - 2
479898,Aston Villa,1,0,Manchester City,51,KarimElAhmadi,28/09/2013,2013/2014,PremierLeague,England,0 - 1,3 - 2
479898,Aston Villa,0,1,Manchester City,56,EdinDeko,28/09/2013,2013/2014,PremierLeague,England,0 - 1,3 - 2
479898,Aston Villa,0,1,Manchester City,45,YayaTour,28/09/2013,2013/2014,PremierLeague,England,0 - 1,3 - 2
479899,Everton,1,0,Newcastle United,25,RossBarkley,30/09/2013,2013/2014,PremierLeague,England,3 - 0,3 - 2
479899,Everton,1,0,Newcastle United,5,RomeluLukaku,30/09/2013,2013/2014,PremierLeague,England,3 - 0,3 - 2
479899,Everton,1,0,Newcastle United,37,RomeluLukaku,30/09/2013,2013/2014,PremierLeague,England,3 - 0,3 - 2
479899,Everton,0,1,Newcastle United,89,LocRmy,30/09/2013,2013/2014,PremierLeague,England,3 - 0,3 - 2
479899,Everton,0,1,Newcastle United,51,YohanCabaye,30/09/2013,2013/2014,PremierLeague,England,3 - 0,3 - 2
479900,Fulham,1,0,Cardiff City,45,BryanRuiz,28/09/2013,2013/2014,PremierLeague,England,1 - 1,1 - 2
479900,Fulham,0,1,Cardiff City,92,JordonMutch,28/09/2013,2013/2014,PremierLeague,England,1 - 1,1 - 2
479900,Fulham,0,1,Cardiff City,12,StevenCaulker,28/09/2013,2013/2014,PremierLeague,England,1 - 1,1 - 2
479901,Hull City,1,0,West Ham United,13,RobbieBrady,28/09/2013,2013/2014,PremierLeague,England,1 - 0,1 - 0
479902,Manchester United,1,0,West Bromwich Albion,58,WayneRooney,28/09/2013,2013/2014,PremierLeague,England,0 - 0,1 - 2
479902,Manchester United,0,1,West Bromwich Albion,54,MorganAmalfitano,28/09/2013,2013/2014,PremierLeague,England,0 - 0,1 - 2
479902,Manchester United,0,1,West Bromwich Albion,67,SaidoBerahino,28/09/2013,2013/2014,PremierLeague,England,0 - 0,1 - 2
479903,Southampton,1,0,Crystal Palace,47,PabloDanielOsvaldo,28/09/2013,2013/2014,PremierLeague,England,0 - 0,2 - 0
479903,Southampton,1,0,Crystal Palace,49,RickieLambert,28/09/2013,2013/2014,PremierLeague,England,0 - 0,2 - 0
479904,Stoke City,0,1,Norwich City,34,JonathanHowson,29/09/2013,2013/2014,PremierLeague,England,0 - 1,0 - 1
479905,Sunderland,1,0,Liverpool,52,EmanueleGiaccherini,29/09/2013,2013/2014,PremierLeague,England,0 - 2,1 - 3
479905,Sunderland,0,1,Liverpool,88,LuisSurez,29/09/2013,2013/2014,PremierLeague,England,0 - 2,1 - 3
479905,Sunderland,0,1,Liverpool,28,DanielSturridge,29/09/2013,2013/2014,PremierLeague,England,0 - 2,1 - 3
